+---------------------------------------------------+
|             train/test log likelihood             |
+-------+---------------------+---------------------+
| # it. |      train loss     |      test loss      |
+-------+---------------------+---------------------+
|   0   |  -1.130984640033735 | -1.1185013372975028 |
|   1   |  -0.940314192861469 | -0.9286307953500212 |
|   2   | -0.8049581150130274 | -0.7918605426561239 |
|   3   | -0.7216771538849588 | -0.7071268204639309 |
|   4   | -0.6759840252684013 | -0.6609682923187583 |
|   5   | -0.6522450931176985 | -0.6375540179413027 |
|   6   | -0.6399716700305949 | -0.6259576032754178 |
|   7   | -0.6335088292369625 | -0.6202481880627864 |
|   8   | -0.6300220728004061 | -0.6174654111497289 |
|   9   | -0.6280965063860632 | -0.6161493752906422 |
|   10  | -0.6270110435422219 |  -0.615571104911536 |
|   11  | -0.6263882567207176 | -0.6153606643804084 |
|   12  | -0.6260254520179112 | -0.6153281707168868 |
|   13  | -0.6258112714377089 |  -0.615375916521457 |
|   14  | -0.6256833267804299 |  -0.615454134438711 |
|   15  | -0.6256060731776043 | -0.6155382123869715 |
|   16  | -0.6255589631120014 | -0.6156167406134828 |
|   17  | -0.6255299664198144 | -0.6156851617755332 |
|   18  | -0.6255119593619501 | -0.6157423770030561 |
|   19  | -0.6255006800702173 | -0.6157889346762586 |
|   20  | -0.6254935546879485 | -0.6158260747904896 |
|   21  | -0.6254890150974951 | -0.6158552376574761 |
|   22  | -0.6254860979957484 | -0.6158778239370974 |
|   23  | -0.6254842069421005 | -0.6158950891919867 |
|   24  | -0.6254829698336701 | -0.6159081087571844 |
|   25  | -0.6254821528084971 | -0.6159177777472741 |
|   26  | -0.6254816078187732 | -0.6159248271335287 |
|   27  |  -0.625481240464556 | -0.6159298457755379 |
|   28  | -0.6254809901157511 | -0.6159333032481047 |
|   29  | -0.6254808175430562 | -0.6159355710208315 |
|   30  |  -0.625480697170121 | -0.6159369410082931 |
|   31  | -0.6254806121890829 | -0.6159376412672288 |
|   32  | -0.6254805514618598 | -0.6159378489871732 |
|   33  |  -0.625480507542118 | -0.6159377010794995 |
|   34  | -0.6254804754047965 | -0.6159373027168467 |
|   35  | -0.6254804516249872 | -0.6159367341660363 |
|   36  | -0.6254804338438447 | -0.6159360562235555 |
|   37  | -0.6254804204188886 | -0.6159353145198787 |
|   38  | -0.6254804101934447 | -0.6159345429157369 |
|   39  | -0.6254804023435123 | -0.6159337661738573 |
+-------+---------------------+---------------------+
Confussion matrix: [[0.72916667 0.27083333]
 [0.26923077 0.73076923]]
