+---------------------------------------------------+
|             train/test log likelihood             |
+-------+---------------------+---------------------+
| # it. |      train loss     |      test loss      |
+-------+---------------------+---------------------+
|   0   | -0.8289344746014897 |  -0.746092566996778 |
|   1   | -0.8231670640976475 |  -0.738131370549769 |
|   2   | -0.8182402328959276 | -0.7312622646583219 |
|   3   | -0.8140331991497024 | -0.7253380997589592 |
|   4   | -0.8104411262899159 | -0.7202298180890878 |
|   5   | -0.8073734191831663 | -0.7158247975523389 |
|   6   | -0.8047520823696346 | -0.7120251694908748 |
|   7   | -0.8025101807525451 |  -0.708746180363708 |
|   8   | -0.8005904256229485 | -0.7059146429358754 |
|   9   | -0.7989438961977503 | -0.7034675039690711 |
|   10  | -0.7975288979963373 | -0.7013505417376481 |
|   11  | -0.7963099535142432 | -0.6995171970512227 |
|   12  | -0.7952569170214232 | -0.6979275349665527 |
|   13  |  -0.794344203303722 | -0.6965473302469916 |
|   14  | -0.7935501192953243 | -0.6953472672407162 |
|   15  | -0.7928562874485984 | -0.6943022436935499 |
|   16  | -0.7922471500821817 |  -0.69339076770019  |
|   17  | -0.7917095446408294 | -0.6925944372389226 |
|   18  | -0.7912323406523777 | -0.6918974923182697 |
|   19  | -0.7908061300831492 | -0.6912864305396169 |
|   20  | -0.7904229637106451 | -0.6907496777441818 |
|   21  | -0.7900761270120491 | -0.6902773062965767 |
|   22  |  -0.789759949885997 | -0.6898607944163365 |
|   23  | -0.7894696452715668 | -0.6894928207764697 |
|   24  | -0.7892011723983906 | -0.6891670893298462 |
|   25  | -0.7889511209959187 | -0.6888781799939336 |
|   26  | -0.7887166133119172 | -0.6886214214212129 |
|   27  | -0.7884952212456119 | -0.6883927826092289 |
|   28  |  -0.788284896295741 | -0.6881887805652517 |
|   29  | -0.7880839103645265 | -0.6880064016416115 |
|   30  | -0.7878908057515082 | -0.6878430345049463 |
|   31  | -0.7877043529222243 | -0.6876964130019146 |
|   32  | -0.7875235148512674 | -0.6875645674410927 |
|   33  | -0.7873474169222322 | -0.6874457830311422 |
|   34  | -0.7871753215228493 | -0.6873385644037612 |
|   35  |  -0.787006606606002 | -0.6872416053107168 |
|   36  | -0.7868407475997486 | -0.6871537627213058 |
|   37  | -0.7866773021447938 | -0.6870740346631989 |
|   38  | -0.7865158972186366 | -0.6870015412488045 |
|   39  | -0.7863562182740119 | -0.6869355084135382 |
|   40  |  -0.786198000077117 | -0.6868752539639178 |
|   41  | -0.7860410189800511 | -0.6868201755941173 |
|   42  | -0.7858850864032735 | -0.6867697405811164 |
|   43  | -0.7857300433388423 | -0.6867234769122572 |
|   44  | -0.7855757557147309 | -0.6866809656360684 |
|   45  | -0.7854221104854582 | -0.6866418342586128 |
|   46  | -0.7852690123353279 | -0.6866057510342526 |
|   47  | -0.7851163808983486 | -0.6865724200222971 |
|   48  | -0.7849641484139102 | -0.6865415768001504 |
|   49  | -0.7848122577499536 | -0.6865129847398158 |
|   50  | -0.7846606607360544 | -0.6864864317683924 |
|   51  | -0.7845093167578594 | -0.6864617275448884 |
|   52  | -0.7843581915719102 | -0.6864387009956049 |
|   53  | -0.7842072563063168 | -0.6864171981587733 |
|   54  |  -0.784056486618145 | -0.6863970802962838 |
|   55  |  -0.783905861982948 |  -0.686378222236438 |
|   56  | -0.7837553650957281 | -0.6863605109168317 |
|   57  | -0.7836049813658539 | -0.6863438441008779 |
|   58  | -0.7834546984912012 | -0.6863281292452335 |
|   59  |  -0.783304506099094 | -0.6863132824985904 |
+-------+---------------------+---------------------+
Confussion matrix: [[0.525 0.475]
 [0.55  0.45 ]]
