+-----------------------------------------------------+
|              train/test log likelihood              |
+-------+----------------------+----------------------+
| # it. |      train loss      |      test loss       |
+-------+----------------------+----------------------+
|   0   |  -1.116781270492412  | -1.1660763282853284  |
|   1   | -1.0050663694851294  | -1.0078443924804203  |
|   2   | -0.9162059479907023  | -0.9348285084430319  |
|   3   | -0.8401869088018369  | -0.8509981876038205  |
|   4   | -0.7743997373109528  |  -0.786815810490599  |
|   5   | -0.7173949701789403  | -0.7275222808269385  |
|   6   | -0.6680638961839488  | -0.6776763671410877  |
|   7   | -0.6254399694298872  | -0.6338705873062703  |
|   8   | -0.5886360624257562  | -0.5963357747381184  |
|   9   |  -0.556829634550596  | -0.5638376989134933  |
|   10  | -0.5292676469608049  | -0.5358651345310165  |
|   11  |  -0.505276255539326  | -0.5116821695251779  |
|   12  | -0.4842686771899631  | -0.49073362799648623 |
|   13  | -0.4657472954415494  | -0.47248919146039825 |
|   14  | -0.44929929744325764 | -0.4565107220211384  |
|   15  | -0.4345874337568693  | -0.44242556700663493 |
|   16  | -0.4213384499790253  | -0.4299284117177837  |
|   17  | -0.40933140113444777 | -0.41876919668947304 |
|   18  | -0.3983871752117409  | -0.4087445343828209  |
|   19  | -0.3883597465232958  | -0.39968866188217933 |
|   20  | -0.37912917432694715 | -0.39146602914131895 |
|   21  | -0.3705961273893193  | -0.38396514825467093 |
|   22  | -0.3626776482810932  | -0.3770937066862221  |
|   23  | -0.35530388577409033 | -0.37077471433708226 |
|   24  |  -0.348415567908186  | -0.36494348797035203 |
|   25  | -0.3419620367274245  | -0.35954529145449626 |
|   26  | -0.3358997082733706  | -0.3545334846045985  |
|   27  |  -0.330190855527005  | -0.3498680641731571  |
|   28  | -0.3248026380469615  | -0.34551450709445175 |
|   29  | -0.3197063214839673  | -0.3414428472650786  |
|   30  | -0.31487664447746727 | -0.3376269335628922  |
|   31  | -0.31029130096209634 | -0.33404382930818644 |
|   32  | -0.3059305136473867  | -0.33067332280898476 |
|   33  | -0.3017766801453297  | -0.3274975257343232  |
|   34  | -0.29781407746306227 | -0.3245005414049082  |
|   35  | -0.29402861375301464 | -0.3216681891241715  |
|   36  | -0.2904076186082398  | -0.31898777372885473 |
|   37  | -0.2869396650130244  | -0.31644789186549177 |
|   38  | -0.28361441745706834 | -0.3140382682814994  |
|   39  | -0.28042250180320893 | -0.3117496167929639  |
|   40  | -0.27735539334225656 | -0.30957352165615626 |
|   41  | -0.27440532013154084 |  -0.30750233590087   |
|   42  | -0.2715651792387381  | -0.30552909383636817 |
|   43  | -0.2688284639311421  | -0.30364743545654177 |
|   44  | -0.26618920018653525 | -0.30185154088105565 |
|   45  | -0.26364189117321746 | -0.3001360732973638  |
|   46  | -0.2611814685672893  | -0.29849612913246837 |
|   47  | -0.25880324975551183 |  -0.296927194396889  |
|   48  | -0.2565029001201441  | -0.2954251063170607  |
|   49  | -0.2542763997244537  | -0.29398601951444786 |
|   50  | -0.25212001381908655 | -0.29260637610640977 |
|   51  | -0.2500302666741097  | -0.29128287920024576 |
|   52  | -0.24800391831242102 | -0.2900124693317928  |
|   53  | -0.24603794377984262 | -0.2887923034665453  |
|   54  | -0.2441295146375704  | -0.2876197362369614  |
|   55  | -0.2422759824053526  | -0.28649230313638624 |
|   56  | -0.2404748637201062  | -0.28540770542942445 |
|   57  | -0.2387238270057123  | -0.28436379657191124 |
|   58  | -0.23702068047631805 | -0.28335856996188896 |
|   59  | -0.23536336131831778 | -0.2823901478670267  |
+-------+----------------------+----------------------+
Confussion matrix: [[0.945 0.055]
 [0.6   0.4  ]]
