/home/eduardburlacu/miniconda3/bin/conda run -n fedprox --no-capture-output python /home/eduardburlacu/Inference/code.py 
+---------------------------------------------------+
|             train/test log likelihood             |
+-------+---------------------+---------------------+
| # it. |      train loss     |      test loss      |
+-------+---------------------+---------------------+
|   0   | -0.6698586576389929 | -0.6645619495650661 |
|   1   | -0.6595401967796809 | -0.6540353718593965 |
|   2   | -0.6517319413935324 | -0.6459913401009169 |
|   3   |  -0.645789323794506 | -0.6398019702487471 |
|   4   | -0.6412440288833399 | -0.6350094834702399 |
|   5   | -0.6377519213695537 | -0.6312763044322973 |
|   6   | -0.6350579843602453 | -0.6283513983673297 |
|   7   | -0.6329719574480633 | -0.6260468046428753 |
|   8   |  -0.631351057705226 | -0.6242209342761074 |
|   9   | -0.6300875585320944 | -0.6227665242335118 |
|   10  | -0.6290997765069806 | -0.6216018723257851 |
|   11  | -0.6283254836919957 | -0.6206644158769364 |
|   12  | -0.6277170629257232 | -0.6199060001860601 |
|   13  | -0.6272379247827944 | -0.6192893733934423 |
|   14  | -0.6268598433596531 | -0.6187855763629906 |
|   15  | -0.6265609649282173 | -0.6183719890657169 |
|   16  | -0.6263243119679975 | -0.6180308609048083 |
|   17  | -0.6261366538152661 | -0.6177481995509979 |
|   18  | -0.6259876500391931 | -0.6175129266914773 |
|   19  | -0.6258691977334718 | -0.6173162334893838 |
|   20  | -0.6257749320342819 | -0.6171510862118866 |
|   21  | -0.6256998423340165 | -0.6170118453265389 |
|   22  | -0.6256399762614346 | -0.6168939707449311 |
|   23  | -0.6255922105394371 | -0.6167937927750998 |
|   24  |  -0.625554073020502 |  -0.61670833341848  |
|   25  |  -0.625523604043297 | -0.6166351664065673 |
|   26  | -0.6254992481152789 | -0.6165723071711763 |
|   27  | -0.6254797690667234 | -0.6165181260358199 |
|   28  | -0.6254641834309128 | -0.6164712794893934 |
|   29  | -0.6254517080206916 | -0.6164306555916764 |
|   30  | -0.6254417185938526 | -0.6163953304616099 |
|   31  | -0.6254337172025862 | -0.6163645334861066 |
|   32  | -0.6254273063599914 | -0.6163376194126252 |
|   33  |  -0.625422168569742 | -0.6163140458924101 |
|   34  |  -0.625418050083521 | -0.6162933553525856 |
|   35  | -0.6254147479972686 | -0.6162751603162184 |
|   36  | -0.6254120999885757 | -0.6162591314765905 |
|   37  | -0.6254099761464827 | -0.6162449879777233 |
|   38  | -0.6254082724612181 |  -0.616232489467179 |
|   39  | -0.6254069056324154 | -0.6162214295765063 |
+-------+---------------------+---------------------+
Confussion matrix: [[0.71287129 0.28712871]
 [0.26262626 0.73737374]]
+-----------------------------------------------------+
|              train/test log likelihood              |
+-------+----------------------+----------------------+
| # it. |      train loss      |      test loss       |
+-------+----------------------+----------------------+
|   0   |  -5.594266790895283  |  -5.730605328597669  |
|   1   |  -4.462770643825731  |  -4.574598692381861  |
|   2   | -3.6336331642982227  | -3.6822425919112014  |
|   3   | -3.0169300522650633  | -3.0119231595574867  |
|   4   | -2.5288923222044364  | -2.5144064024033277  |
|   5   |  -2.147374860175075  | -2.1565312629068507  |
|   6   | -1.8684074070153451  |  -1.914155277475467  |
|   7   | -1.6782540012964835  | -1.7551786870494477  |
|   8   | -1.5500318720928083  | -1.6437964672822218  |
|   9   | -1.4542359728857954  | -1.5526163824424457  |
|   10  | -1.3738337611582412  |  -1.470014159806281  |
|   11  | -1.3029904987770595  | -1.3939126190362685  |
|   12  |  -1.239856852854981  | -1.3243774925578964  |
|   13  | -1.1834228693085267  |  -1.261281344789699  |
|   14  | -1.1328180724568222  | -1.2041527534037288  |
|   15  |  -1.087236522616599  |  -1.152369034527294  |
|   16  | -1.0459562537187554  | -1.1052906778282974  |
|   17  | -1.0083539602468894  | -1.0623239770225092  |
|   18  | -0.9739062871088683  | -1.0229441579058838  |
|   19  | -0.9421822756529957  | -0.9866998697555883  |
|   20  | -0.9128312986366054  |  -0.953209124613023  |
|   21  | -0.8855694079194332  | -0.9221514794466737  |
|   22  | -0.8601659955303012  |  -0.89325894129879   |
|   23  | -0.8364319205674131  | -0.8663069682365017  |
|   24  | -0.8142096628777737  | -0.8411063136143099  |
|   25  | -0.7933656185505642  | -0.8174960623703594  |
|   26  | -0.7737843588162546  | -0.7953379445990779  |
|   27  |  -0.755364519276268  | -0.7745118463700834  |
